Authority,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,Total
Avon & Somerset,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,5
Bedfordshire,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5
Cambridgeshire,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4
Cheshire,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,7
City of London,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Cleveland,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4
Cumbria,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Derbyshire,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2,8
Devon & Cornwall,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,5
Dorset,0,3,1,0,0,0,1,1,0,0,0,1,0,0,1,8
Durham,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
Dyfed-Powys,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,6
Essex,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5
Gloucestershire,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Greater Manchester,4,2,6,2,4,1,1,1,2,0,1,2,2,0,1,29
Gwent,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Hampshire,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4
Hertfordshire,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,7
Humberside,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,6
Kent,0,2,1,1,0,1,0,0,1,0,0,2,0,1,2,11
Lancashire,3,2,1,0,0,0,0,0,0,2,0,2,1,3,1,15
Leicestershire,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,6
Lincolnshire,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5
Merseyside,1,3,1,0,2,0,2,0,0,0,0,2,1,2,1,15
Metropolitan,5,5,5,4,5,8,3,2,3,2,1,3,4,5,5,60
Norfolk,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,6
North Wales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North Yorkshire,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3
Northamptonshire,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
Northumbria,2,2,2,0,1,0,0,1,0,0,0,1,0,0,1,10
Nottinghamshire,2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,7
South Wales,0,1,0,0,2,0,0,1,1,0,1,1,0,1,2,10
South Yorkshire,2,0,2,0,2,0,1,0,1,0,0,0,2,1,2,13
Staffordshire,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,5
Suffolk,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Surrey,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,6
Sussex,2,2,1,1,0,2,0,1,0,1,0,1,1,2,0,14
Thames Valley,1,0,2,1,1,1,0,1,1,1,1,0,1,2,0,13
Warwickshire,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,6
West Mercia,1,1,0,0,1,1,1,0,0,0,1,0,2,0,1,9
West Midlands,1,1,3,2,1,2,3,1,2,0,3,1,2,2,2,26
West Yorkshire,2,5,3,0,2,1,4,0,2,3,1,1,2,3,2,31
Wiltshire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
British Transport Police,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HMRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ministry of Defence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCA / NCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
